,label,Status,DamageBonus,SuccessRateBonus,DefenseBonus
0,Bonus_001,0,0.0,-0.15,0.0
1,Bonus_002,1,0.01,-0.14,0.0025
2,Bonus_003,2,0.02,-0.13,0.005
3,Bonus_004,3,0.03,-0.12,0.0075
4,Bonus_005,4,0.04,-0.11,0.01
5,Bonus_006,5,0.05,-0.1,0.0125
6,Bonus_007,6,0.06,-0.09,0.015
7,Bonus_008,7,0.07,-0.08,0.0175
8,Bonus_009,8,0.08,-0.07,0.02
9,Bonus_010,9,0.09,-0.06,0.0225
10,Bonus_011,10,0.1,-0.05,0.025
11,Bonus_012,11,0.11,-0.04,0.0275
12,Bonus_013,12,0.12,-0.03,0.03
13,Bonus_014,13,0.13,-0.02,0.0325
14,Bonus_015,14,0.14,-0.01,0.035
15,Bonus_016,15,0.15,0.0,0.0375
16,Bonus_017,16,0.16,0.01,0.04
17,Bonus_018,17,0.17,0.02,0.0425
18,Bonus_019,18,0.18,0.03,0.045
19,Bonus_020,19,0.19,0.04,0.0475
20,Bonus_021,20,0.2,0.05,0.05
21,Bonus_022,21,0.21,0.06,0.0525
22,Bonus_023,22,0.22,0.07,0.055
23,Bonus_024,23,0.23,0.08,0.0575
24,Bonus_025,24,0.24,0.09,0.06
25,Bonus_026,25,0.25,0.1,0.0625
26,Bonus_027,26,0.26,0.11,0.065
27,Bonus_028,27,0.27,0.12,0.0675
28,Bonus_029,28,0.28,0.13,0.07
29,Bonus_030,29,0.29,0.14,0.0725
30,Bonus_031,30,0.3,0.15,0.075
31,Bonus_032,31,0.31,0.16,0.0775
32,Bonus_033,32,0.32,0.17,0.08
33,Bonus_034,33,0.33,0.18,0.0825
34,Bonus_035,34,0.34,0.19,0.085
35,Bonus_036,35,0.35,0.2,0.0875
36,Bonus_037,36,0.36,0.21,0.09
37,Bonus_038,37,0.37,0.22,0.0925
38,Bonus_039,38,0.38,0.23,0.095
39,Bonus_040,39,0.39,0.24,0.0975
40,Bonus_041,40,0.4,0.25,0.1
41,Bonus_042,41,0.41,0.26,0.1025
42,Bonus_043,42,0.42,0.27,0.105
43,Bonus_044,43,0.43,0.28,0.1075
44,Bonus_045,44,0.44,0.29,0.11
45,Bonus_046,45,0.45,0.3,0.1125
46,Bonus_047,46,0.46,0.31,0.115
47,Bonus_048,47,0.47,0.32,0.1175
48,Bonus_049,48,0.48,0.33,0.12
49,Bonus_050,49,0.49,0.34,0.1225
50,Bonus_051,50,0.5,0.35,0.125
51,Bonus_052,51,0.51,0.36,0.1275
52,Bonus_053,52,0.52,0.37,0.13
53,Bonus_054,53,0.53,0.38,0.1325
54,Bonus_055,54,0.54,0.39,0.135
55,Bonus_056,55,0.55,0.4,0.1375
56,Bonus_057,56,0.56,0.41,0.14
57,Bonus_058,57,0.57,0.42,0.1425
58,Bonus_059,58,0.58,0.43,0.145
59,Bonus_060,59,0.59,0.44,0.1475
60,Bonus_061,60,0.6,0.45,0.15
61,Bonus_062,61,0.61,0.46,0.1525
62,Bonus_063,62,0.62,0.47,0.155
63,Bonus_064,63,0.63,0.48,0.1575
64,Bonus_065,64,0.64,0.49,0.16
65,Bonus_066,65,0.65,0.5,0.1625
66,Bonus_067,66,0.66,0.51,0.165
67,Bonus_068,67,0.67,0.52,0.1675
68,Bonus_069,68,0.68,0.53,0.17
69,Bonus_070,69,0.69,0.54,0.1725
70,Bonus_071,70,0.7,0.55,0.175
71,Bonus_072,71,0.71,0.56,0.1775
72,Bonus_073,72,0.72,0.57,0.18
73,Bonus_074,73,0.73,0.58,0.1825
74,Bonus_075,74,0.74,0.59,0.185
75,Bonus_076,75,0.75,0.6,0.1875
76,Bonus_077,76,0.76,0.61,0.19
77,Bonus_078,77,0.77,0.62,0.1925
78,Bonus_079,78,0.78,0.63,0.195
79,Bonus_080,79,0.79,0.64,0.1975
80,Bonus_081,80,0.8,0.65,0.2
81,Bonus_082,81,0.81,0.66,0.2025
82,Bonus_083,82,0.82,0.67,0.205
83,Bonus_084,83,0.83,0.68,0.2075
84,Bonus_085,84,0.84,0.69,0.21
85,Bonus_086,85,0.85,0.7,0.2125
86,Bonus_087,86,0.86,0.71,0.215
87,Bonus_088,87,0.87,0.72,0.2175
88,Bonus_089,88,0.88,0.73,0.22
89,Bonus_090,89,0.89,0.74,0.2225
90,Bonus_091,90,0.9,0.75,0.225
91,Bonus_092,91,0.91,0.76,0.2275
92,Bonus_093,92,0.92,0.77,0.23
93,Bonus_094,93,0.93,0.78,0.2325
94,Bonus_095,94,0.94,0.79,0.235
95,Bonus_096,95,0.95,0.8,0.2375
96,Bonus_097,96,0.96,0.81,0.24
97,Bonus_098,97,0.97,0.82,0.2425
98,Bonus_099,98,0.98,0.83,0.245
99,Bonus_100,99,0.99,0.84,0.2475
