,label,ArtsName,OverAttackFirst,OverAttackLast,ArtsCategory,Weapon,WeaponSub,Attribute1,Attribute2,TargetParty,TargetType,MaxRank,Count1,Count2,Count3,Count4,Count5,Attack1,Attack2,Attack3,Attack4,Attack5,AttackCount,BP1,BP2,BP3,BP4,BP5,Turn1,Turn2,Turn3,Turn4,Turn5,Hit,Speed,AfterCasterSpeed,AfterTargetSpeed,Bump,Hate,BaseParameter1,BaseParameter2,BaseElement,EffectType1,EffectType2,EffectType3,EffectType4,EffectParam1,EffectParam2,EffectParam3,EffectParam4,AddEffect1,AddEffect2,AddEffectParam1,AddEffectParam2,Random,HitArea,SureHit,Penetration,BeforeGuard,AfterGuard,RaceSlayer,ReserveCancel,ReserveType,ReserveProb,DisableSelect,OverAttack,OverAttackLeft,OverAttackSelf,OverAttackRight,AddOverAttackDamage,AddSingleStageDamage
0,OHS_WL000_A01,斬り払い,斬り,払い,武器技,片手剣技,汎用片手剣技,斬,―,敵,単体,5.0,0,7,42,116,240,23,24,25,26,27,1,1,1,1,1,1,0,0,0,0,0,95,0,0,0,0,21,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,0,19,10
1,OHS_WL000_A02,失礼剣,失礼,失礼,武器技,片手剣技,汎用片手剣技,斬,―,敵,単体,5.0,0,7,42,116,240,22,23,24,25,26,1,1,1,1,1,1,0,0,0,0,0,94,-1,0,0,1,20,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,0,19,10
2,OHS_WL000_PROTECT,パリイ,パ,リイ,武器技,片手剣技,汎用片手剣技,―,―,味方,自身,3.0,0,3,36,999,999,100,100,100,100,100,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,―,―,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,パリイ,70,0,0,0,0,0,21,12
3,OHS_WL000_A04,カットイン,カット,イン,武器技,片手剣技,汎用片手剣技,斬,―,敵,単体,5.0,0,7,39,109,224,28,29,30,31,32,1,2,2,2,2,2,0,0,0,0,0,95,1,0,0,0,22,運,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,1,20,11
4,OHS_WL000_B01,ブラッドスパルタン,スパルタ,スパルタン,未使用技,片手剣技,汎用片手剣技,斬,―,敵,単体,5.0,0,5,31,85,176,45,46,47,48,50,1,5,5,5,5,5,0,0,0,0,0,95,0,5,3,0,26,筋,体,―,暗闇,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,0,23,14
5,OHS_WL000_B01_A,ブラッドスパルタン,スパルタ,スパルタン,敵専用技,片手剣技,汎用片手剣技,斬,―,敵,単体,5.0,0,5,31,85,176,50,51,52,54,56,1,5,5,5,5,5,0,0,0,0,0,95,0,5,3,0,28,筋,体,―,即死,―,―,―,75.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,2,23,14
6,OHS_WLLSW_B01,疾風剣,疾風,疾風,武器技,片手剣技,長剣技,斬,―,敵,単体,5.0,0,7,39,109,224,28,29,30,31,32,1,2,2,2,2,2,0,0,0,0,0,95,3,2,2,0,22,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,1,20,11
7,OHS_WLLSW_B01_A,ブラッドガード,ブラッド,ガード,敵専用技,片手剣技,長剣技,斬,―,敵,単体,5.0,0,6,36,101,208,43,44,45,46,48,1,3,3,3,3,3,0,0,0,0,0,95,9,3,3,0,26,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,3,21,12
8,OHS_WLLSW_B02,空圧波,空圧,波,武器技,片手剣技,長剣技,斬,―,敵,後方,5.0,0,6,36,101,208,28,29,30,31,32,1,3,3,3,3,3,0,0,0,0,0,100,2,3,3,1,22,筋,集,―,範囲バンプ,―,―,―,100.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,―,0,0,1,0,1,2,21,12
9,OHS_WLLSW_B03,神速三段突き,神速,三段突き,武器技,片手剣技,長剣技,突,―,敵,単体,5.0,0,6,33,93,192,40,41,42,43,45,1,4,4,4,4,4,0,0,0,0,0,95,3,4,3,0,25,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,1,22,13
