,label,ArtsName,OverAttackFirst,OverAttackLast,BaseArts,AdditionalArts,Sequence,ArtsCategory,PlayerUse,EnemyUse,Weapon,WeaponSub,Attribute1,Attribute2,TargetParty,TargetType,Attack,AttackCount,BP,Turn,Hit,Speed,AfterCasterSpeed,AfterTargetSpeed,Bump,Hate,Random,BaseParameter1,BaseParameter2,BaseElement,EffectType1,EffectType2,EffectType3,EffectType4,EffectParam1,EffectParam2,EffectParam3,EffectParam4,AddEffect1,AddEffect2,AddEffectParam1,AddEffectParam2,HitArea,SureHit,Penetration,BeforeGuard,AfterGuard,RaceSlayer,ReserveCancel,ReserveType,ReserveProb,DisableSelect,OverAttack,OverAttackLeft,OverAttackSelf,OverAttackRight,AddOverAttackDamage,AddSingleStageDamage
0,WAIT,行動不能,–,–,行動不能,–,WL000_A01,特殊行動,1,1,–,–,–,–,味方,単体,0,0,0,0,0,0,0,0,0,0,0,–,–,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,0,0,0,0,0,0
1,DEFENSE,防御,–,–,防御,–,WL000_A01,特殊行動,1,1,–,–,–,–,味方,単体,0,0,0,0,0,0,0,6,0,0,0,–,–,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,1,1,–,0,–,0,0,0,0,0,0,0,0
2,MONSTER_RELEASE,解き放つ,–,–,解き放つ,–,WL000_A01,特殊行動,1,0,モンスター,–,–,–,味方,単体,0,0,1,0,0,0,0,0,0,0,0,–,–,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,0,0,0,0,0,0
3,OHS_WL000_A01,斬り払い,斬り,払い,斬り払い,–,WL000_A01,武器技,1,1,片手剣,汎用片手剣,斬,–,敵,単体,23,1,1,0,95,0,0,0,0,21,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,0,19,10
4,OHS_WL000_A02,失礼剣,失礼,失礼,失礼剣,–,WL000_A02,武器技,1,1,片手剣,汎用片手剣,斬,–,敵,単体,22,1,1,0,94,-1,0,0,1,20,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,0,19,10
5,OHS_WL000_PROTECT,パリイ,パ,リイ,パリイ,–,WL000_A01,武器技,1,0,片手剣,汎用片手剣,–,–,味方,自身,100,1,3,0,0,0,0,0,0,0,0,–,–,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,パリイ,70,0,0,0,0,0,21,12
6,OHS_WL000_A04,カットイン,カット,イン,カットイン,–,WL000_A04,武器技,1,1,片手剣,汎用片手剣,斬,–,敵,単体,28,1,2,0,95,1,0,0,0,22,0,運,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,1,20,11
7,OHS_WLLSW_B01,疾風剣,疾風,疾風,疾風剣,–,WLLSW_B01,武器技,1,1,片手剣,長剣,斬,–,敵,単体,28,1,2,0,95,3,2,2,0,22,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,1,20,11
8,OHS_WLLSW_B02,空圧波［1］,空圧,波,空圧波［1］,–,WLLSW_B02,武器技,1,1,片手剣,長剣,斬,–,敵,後方,28,1,3,0,100,2,3,3,1,22,0,筋,集,–,範囲バンプ,–,–,–,100,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,0,1,2,21,12
9,OHS_WLLSW_B03,神速三段突き,神速,三段突き,神速三段突き,–,WLLSW_B03,武器技,1,1,片手剣,長剣,突,–,敵,単体,40,1,4,0,95,3,4,3,0,25,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,1,22,13
