,label,MaxRank,Count1,Count2,Count3,Count4,Count5,BP1,BP2,BP3,BP4,BP5,Attack1,Attack2,Attack3,Attack4,Attack5,Turn1,Turn2,Turn3,Turn4,Turn5
0,OHS_WL000_A01,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
1,OHS_WL000_A02,5,0,7,42,116,240,1,1,1,1,1,22,23,24,25,26,0,0,0,0,0
2,OHS_WL000_PROTECT,3,0,3,36,999,999,3,2,1,1,1,100,100,100,100,100,0,0,0,0,0
3,OHS_WL000_A04,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
4,OHS_WL000_B01,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
5,OHS_WL000_B01_A,5,0,5,31,85,176,5,5,5,5,5,50,51,52,54,56,0,0,0,0,0
6,OHS_WLLSW_B01,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
7,OHS_WLLSW_B01_A,5,0,6,36,101,208,3,3,3,3,3,43,44,45,46,48,0,0,0,0,0
8,OHS_WLLSW_B02,5,0,6,36,101,208,3,3,3,3,3,28,29,30,31,32,0,0,0,0,0
9,OHS_WLLSW_B03,5,0,6,33,93,192,4,4,4,4,4,40,41,42,43,45,0,0,0,0,0
10,OHS_WLLSW_B04,5,0,5,31,85,176,5,5,5,5,5,47,48,49,50,52,0,0,0,0,0
11,OHS_WLRAP_A01,5,0,7,39,109,224,2,2,2,2,2,25,26,27,28,29,0,0,0,0,0
12,OHS_WLRAP_A02,5,0,6,36,101,208,3,3,3,3,3,28,29,30,31,32,0,0,0,0,0
13,OHS_WLRAP_B01,5,0,6,33,93,192,4,4,4,4,4,20,21,22,23,24,0,0,0,0,0
14,OHS_WLRAP_B02,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
15,OHS_WLDAG_A01,5,0,7,39,109,224,2,2,2,2,2,24,25,26,27,28,0,0,0,0,0
16,OHS_WLDAG_B01,5,0,6,36,101,208,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
17,OHS_WLDAG_B02,5,0,6,33,93,192,4,4,4,4,4,36,37,38,39,40,0,0,0,0,0
18,OHS_WLDAG_B03,5,0,5,31,85,176,5,5,5,5,5,67,68,70,72,74,0,0,0,0,0
19,OHS_WLAXE_A01,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
20,OHS_WLAXE_B01,5,0,6,33,93,192,4,4,4,4,4,66,67,68,70,72,0,0,0,0,0
21,OHS_WLAXE_B02,5,0,5,31,85,176,5,5,5,5,5,46,47,48,49,51,0,0,0,0,0
22,OHS_WLAXE_B03,5,0,5,28,77,160,6,6,6,6,6,53,54,55,57,59,0,0,0,0,0
23,OHS_WLAXE_B03_EX1_BASE,5,0,5,28,77,160,6,6,6,6,6,53,54,55,57,59,0,0,0,0,0
24,OHS_WLTSW_A01,5,0,5,31,85,176,5,5,5,5,5,51,52,53,55,57,0,0,0,0,0
25,OHS_WLTSW_B01,5,0,5,28,77,160,6,6,6,6,6,71,72,74,76,78,0,0,0,0,0
26,OHS_WLTSW_B02,5,0,5,28,77,160,6,6,6,6,6,90,91,93,95,98,0,0,0,0,0
27,THS_WH000_A01,5,0,7,39,109,224,2,2,2,2,2,32,33,34,35,36,0,0,0,0,0
28,THS_WH000_A02,5,0,6,36,101,208,3,3,3,3,3,37,38,39,40,41,0,0,0,0,0
29,THS_WH000_A02_SOUL_BASE,5,0,6,36,101,208,3,3,3,3,3,37,38,39,40,41,0,0,0,0,0
30,THS_WH000_PROTECT,3,0,3,36,999,999,3,2,1,1,1,60,60,60,60,60,0,0,0,0,0
31,THS_WH000_A04,5,0,6,33,93,192,4,4,4,4,4,42,43,44,45,47,0,0,0,0,0
