,label,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9
0,GH000_A01,1,0,0,0,0,0,0,0,0
1,GH000_A02,1,0,0,0,0,0,0,0,0
2,GH000_A02a,1,0,0,0,0,0,0,0,0
3,GH000_A03,1,0,0,0,0,0,0,0,0
4,GH000_A04,1,0,0,0,0,0,0,0,0
5,GH000_B01,1,0,0,0,0,0,0,0,0
6,GH000_B02,1,0,0,0,0,0,0,0,0
7,GH000_B02a,1,0,0,0,0,0,0,0,0
8,GH000_B02b,1,0,0,0,0,0,0,0,0
9,GHBOM_A01,1,0,0,0,0,0,0,0,0
10,GHBOM_B01,1,0,0,0,0,0,0,0,0
11,GHBOM_B02,1,0,0,0,0,0,0,0,0
12,GHCHE_A01,1,0,0,0,0,0,0,0,0
13,GHCHE_B01,1,0,0,0,0,0,0,0,0
14,GHCHE_B02,1,0,0,0,0,0,0,0,0
15,GHELE_A01,1,0,0,0,0,0,0,0,0
16,GHELE_A02,1,0,0,0,0,0,0,0,0
17,GHELE_B01,1,0,0,0,0,0,0,0,0
18,GHFLA_A01,1,0,0,0,0,0,0,0,0
19,GHFLA_B01,1,0,0,0,0,0,0,0,0
20,GHFLA_B02,1,0,0,0,0,0,0,0,0
21,GHMAC_A01,1,0,0,0,0,0,0,0,0
22,GHMAC_B01,1,0,0,0,0,0,0,0,0
23,GHMAC_B02,1,0,0,0,0,0,0,0,0
24,GL000_A01,1,0,0,0,0,0,0,0,0
25,GL000_A02,1,0,0,0,0,0,0,0,0
26,GL000_A04,1,0,0,0,0,0,0,0,0
27,GL000_A05,0.28,0.19,0.21,0.32,0,0,0,0,0
28,GL000_B01,1,0,0,0,0,0,0,0,0
29,GL000_B03,0.17,0.24,0.16,0.2,0.23,0,0,0,0
30,GL000_B04,1,0,0,0,0,0,0,0,0
31,GL000_B04a,1,0,0,0,0,0,0,0,0
32,GL000_B04b,1,0,0,0,0,0,0,0,0
33,GL000_B05,1,0,0,0,0,0,0,0,0
34,GL000_B06,1,0,0,0,0,0,0,0,0
35,GL000_B08,1,0,0,0,0,0,0,0,0
36,GLTWO_A01,1,0,0,0,0,0,0,0,0
37,GLTWO_A02,1,0,0,0,0,0,0,0,0
